Code,Meaning
MH,Mount Hope Quarry
908,250 Palmer Block / Job Site 908
907,656 Palmer Block / Job Site 907
MONT,"Monteagle, TN"
POF,Port of Florence
RGH,Rogers Group HSV
MSAND,Man Sand
CSAND,Concrete Sand
HH,Hollingshead Harbor / Hobbs Hollow
MM,Martin Marietta
CHER,Cherokee Quarry
SCRAP,Scrap Material
506,Plant 506 - Decatur
507,Plant 507
508,Plant 508 - Huntsville
511,Plant 511 - Madison
513,Plant 513 - Greenbrier
514,Plant 514
519,Plant 519
8910,Job Site 8910
