Material,Default Pickup
Man Sand,Cherokee
89/10s,Mount Hope
"57s (513, 514, 506, 511)",Mount Hope
"78s (513, 514, 506, 511)",Mount Hope (fallback Cherokee)
Concrete Sand,HH (Hollingshead Harbor)
"Concrete Sand for 907,908","Tremont, MS"
Masonry Sand,"Monteagle, TN"
MH5 Sevens,Mount Hope
50 Sevens (CHER),Cherokee
POD (Port of Decatur),Concrete Sand
POF (Port of Florence),Concrete Sand
